ID	PROVINCIA	COMUNE	LOCALITA	CAMERE	SUITE	LETTI	BAGNI	PRIMA_COLAZIONE	IN_ABITATO	SUL_LAGO	VICINO_ELIPORTO	VICINO_AEREOPORTO	ZONA_CENTRALE	VICINO_IMP_RISALITA	ZONA_PERIFERICA	ZONA_STAZIONE_FS	ATTREZZATURE_VARIE	CARTE_ACCETTATE	LINGUE_PARLATE	SPORT	CONGRESSI	LATITUDINE	LONGITUDINE	OUTPUT
5791	LC	VERCURAGO	SAN GEROLAMO	3	0	6	3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Giochi per bambini,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana					9.43279116	45.8073543	B&B
5792	BG	BERGAMO		2	0	6	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Access. diversamente abili totale,Aria condizionata					9.66694153	45.69727154	B&B
5793	BG	BERGAMO		1	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0						9.67205791	45.69277337	Case_Appartamenti
5794	MI	MILANO		25	0	48	27	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Bar,Sala televisione separata,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Aria condizionata non centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Jacuzzi/Idromassaggio,Servizio in camera,Area fumatori,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,SKY	American express,Visa,Master Card,Diners,Tutte,Maestro,Bancomat,CartaSi,JBC,JCB,AmexCo,JCV,Visa Electron	Inglese,Francese,Spagnolo,Tedesco,Russo,Arabo,Rumeno,Cinese			9.1519224	45.49004964	1_a_3_Stelle
5795	MI	MILANO		172	10	339	181	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Sala lettura separata,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Lavaggio e stiratura biancheria,Pulizia calzature,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Sauna privata,Aria condizionata centralizzata,Access. diversamente abili totale,Riscaldamento,Internet point,Estintori,Jacuzzi/Idromassaggio,Servizio in camera,Salone di bellezza,Area fumatori,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,SKY,Solarium con piscina,Piscina coperta,Fitness/centro salute,Bagno turco,Biciclette per ospiti	American express,Visa,Master Card,Diners,Bank Americard,Tutte,Maestro,Bancomat,Eurocard,CartaSi,JBC,JCB,AmexCo,BAC	Inglese,Francese,Spagnolo,Tedesco,Rumeno	Fitness/centro salute,Piscina coperta	Numero sale congressi 14,Congressi capacita' Min 10,Congressi capacita' Max 1000	9.20694151	45.44699359	4_a_5_Stelle
5796	PV	BORGORATTO MORMOROLO	BOIOLO	2	0	4	2	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	Accettazione animali domestici,Aria condizionata,Parco o giardino,Posto auto		Inglese,Francese			9.2007831	44.9497344	B&B
5797	BS	MONIGA DEL GARDA		8	0	32	8	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0								Case_Appartamenti
5798	BG	GROMO	SPIAZZI	27	2	58	27	0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Ascensore,Ristorante,Bar,Giochi per bambini,Sala televisione separata,Parco o giardino,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Autorimessa,Custodia valori in cassaforte,Access. diversamente abili totale	Visa,Master Card,Bancomat,CartaSi		Pattinaggio su ghiaccio,Campo da tennis		9.95317644	45.97040552	1_a_3_Stelle
5799	CO	LEZZENO	Bagnana	13	2	25	13	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ascensore,Ristorante,Bar,Sala lettura separata,Riscaldamento,Parcheggio non custodito,Estintori,Piscina scoperta,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,SKY,Solarium con piscina,Fitness/centro salute	American express,Visa,Master Card,Maestro,CartaSi	Inglese,Francese,Tedesco	Piscina scoperta,Fitness/centro salute,Sci nautico		9.1941117	45.9450751	4_a_5_Stelle
5800	MB	BIASSONO		3	0	6	3	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	Accesso a mezzi pubblici,Accesso a vetture private,Aria condizionata,Parco o giardino,Posto auto,Sala televisione separata	Visa,Master Card	Inglese,Francese			9.27661476	45.63047474	B&B
